玲珑湾花园, 江山国际广场北
邻里中心, 如云
兰亭御城, 富康路义乌商贸城
玫苑小区, 泗阳县繁荣北路
马赛公馆, 马赛公馆
名流新天地, 淮海路
绿都第一城, 绿都第一城
龙庭花园, 龙庭大酒店南侧
隆源水晶城, 人民大道710号
隆城盘谷, 宿迁学院北侧
凯琳瑞, 楚街南门
绿城庭园, 经济开发区人民大道
乐府兰庭, 乐府兰庭微山湖路
龙庭国际, 嘉盛龙庭国际座落于南环路西侧双庄部队旧址
康盛花园, 康盛花园
阳光天地, 临安小区
沃德佳园, 国际学校对面
沃德家园(兰山苑), 长安路与临安西路交汇
沃德家园, 国际学校南
五金建材市场, 五金建材市场
文化城花鸟市场, 文化城花鸟市场
万顺帝景天成, 万顺帝景天成
五金建材, 五金建材
蓝领公寓, 东开发区开八路
隆城府邸, 大润发超市对面
蓝天商贸城, 城中心
绿城庭院, 浦东路上
隆源城市之星, 宿迁市经济开发区人民大道711号
红梅一区, 西康路
陇原水晶城, 陇原水晶城
隆源别墅, 发展大道
解放路中路县委大院, 解放路中路县委大院
集南小区, 未来北路
金盾小区, 解放路众兴派出所旁
锦辉佳园, 火车站
八一文殊院, 实验小学西侧
宝娜斯花苑, 北园区
霸王举鼎国泰广场, 微山湖路
宝龙御景别墅, 宝龙御景
步行街友谊大院, 水电路
碧水山庄, 骆马湖边上
八一路, 市中心
滨河名城, 滨河名城
北京花园, 老110南侧
槟江国际花园, 暂无信息
霸王商城, 富康路
八一文枢院, 老部队
巴黎都市凯林瑞, 巴黎都市凯林瑞
宝龙广场, 楚街，，宝龙广场
宝龙城市广, 西湖路
城北北海花园, 学府花园边上
城北品名虞姬城, 紫藤花园东南侧
城南市场, 南苑小区旁
城中城小区, 城北附近
财政局家属区, 沭阳县
城北文鼎苑, 学府还有
城市之光, 幸福北路和马陵市场路交汇处
曹集民房, 张家港大道
城宇大夏办公楼, 城宇大夏
舂天湖畔, 春天湖畔
楚街荷花池, 楚街荷花池
创展地产, 新世纪店
财政小区, 财政小区
城北豪园, 豪园小区
成宇大厦单人公寓, 汽车站附近
楚都阳光, 双庄街
崇文公寓, 外国语实验学校
翠屏南园, 翠屏南园
城北小区, 沭阳 城北
东方名都, 东方名都
大润发苏通花园, 暂无信息
东城馥帮, 修远中学对面
东方明都, 仁慈医院边上
东关中学安置楼, 怀文小学大门对面
都是阳光, 迎宾大道浙江商城西侧
大量抵工程款一手房, 大量抵工程款一手房
大润发对过隆城府邸, 大润发对过
大华商城, 义乌商贸城边上
东城水岸宿城马陵河边, 暂无信息
东方名城, 城东片
东方锦城, 城东位于老车站边上
大唐印象, 大唐印象
东大街凤凰城, 幸福路后面
东兴小区, 城中心
登泰新村, 登泰新村
东方广场, 东关口
都市晨光, 宿豫中学西门北走50米
都市阳光, 沭中东侧
东方瑞景, 暂无信息
东城馥邦, 修远中学旁边
富丽莱嘉园, 富丽莱
凤凰城, 凤凰城
峰尚国际, 学府路
富康路商铺, 富康路
福丽莱花园, 福丽莱花园
富贵园小区, 城中心
富康三期, 富康三期
府前小区古北四组, 文体馆西
法院家属区, 暂无信息
富康路沂沭泗, 富康路骆马湖沂沭泗管理局宿舍
凤凰美的, 凤凰美的
副食品商城, 众兴东路
富康二期, 富康花园二期富康大道
枫情水岸, 运河边
富康花园一期, 富康花园一期
富康一期, 富康西区
凤凰美地, 凤凰美地
富康东区, 富康东区
丰泰机电城, 丰泰机电城
富丽莱, 富丽莱
凤凰苑, 众兴路
繁荣公寓, 繁荣公寓
汉宫大厦, 江苏省宿迁市沭阳县
杭州名园, 城东 学区房
翰林府第, 新江南对面
华西文鼎苑, 青岛路
怀文中学教师公寓, 城南县政府东侧
花园小区, 花园小区
黄金海岸阁楼, 南京路
华丽世家独栋别墅, 华丽世家
河畔花城入住时间, 暂无信息
华兴大厦, 红军路
恒开花园, 一号桥边上
海王御花园, 八一路与幸福路交汇处
河滨新村设施齐全, 大润发附近
宏都大厦, 实小对面
华夏花园, 双庄街
华鹏大楼, 沭中附近
华希文鼎苑单身公寓, 虞姬公园附近
湖畔春天, 黄运路
华庭御花园, 楚街西面
荷塘小区, 宿豫区经济开发区
宏城家园, 宏城家园
和谐花园, 人民中路
豪御花园, 楚街北
华诚公寓, 众兴路
华希文鼎院, 华希文鼎院
黄河上苑, 黄河上苑
湖玺庄园, 暂无信息
华丽世家, 小康城华丽世家
华夏丽景, 宿迁市经济开发区富民大道300号
黄山家园, 黄山家园
华东农贸市场, 华东农贸市场
华西南岸丽江景, 大润发
河东商贸城, 商贸城
翰学院, 文成路
豪园别墅, 沭中旁
海派城, 海派城
惠龙花园, 惠龙花园
华星商城, 华星商城
华辉新城, 宿迁市人民大道和汕头路交汇处
华城公寓, 众兴小学旁边
海宁皮革城, 城南偏东一点点
宏城都市, 宏城都市
华阳公寓, 华阳公寓
皇冠单身公寓, 大润发东侧
汇金大厦, 人民商场对面
翰林府邸, 城南临安路
瀚学院, 新泗中南侧
黄金广场, 淮海路
湖滨蓝郡, 第一实小
花都锦城, 花都锦城
皇冠国际单身公寓, 大润发东侧
黄山佳园, 秀强玻璃厂隔壁
豪园小区, 沭阳县沭阳高级中学北100米处
华润景城, 幸福南路商业街玉米人餐饮南侧
红星美凯龙, 红星美凯龙
翰学苑, 文成路
宏成都市, 五台山路7
红星美凯龙单身公寓急, 宿豫实验小学旁
淮海建材城, 宿城区
豪域花园, 湖路豪域花园
皇冠国际, 大润发东侧
建陵嘉园, 人民路
建陵新村, 南京路
君临天下, 临安路
金鼎商城, 沭阳女人街后面
锦绣花园, 上海北路
景辉家园, 大润发路西
金和理想城, 一实小边上
景辉佳园, 暂无信息
金鼎国际, 金鼎国际
金箔年公寓, 幸福路
金属材料市场, 城南钢材市场对面
金地花园, 城东 城郊中学对面那
嘉汇枫景院, 暂无信息
嘉汇风景园, 嘉汇风景园
嘉惠枫景园, 嘉惠枫景园
景华名园景华名园单身, 产看资料
金都商贸, 金都商贸
江山玲珑湾, 市中心附近
锦绣佳园, 幸福北路四季青对过
金谷小区, 暂无信息
嘉惠风景园, 嘉惠风景园
锦秀家园, 锦秀家园
金朴年, 暂无信息
京盛家园单身公寓, 京盛家园单身公寓
江南人家, 江南人家
京盛嘉苑, 北京中路电视塔附近
井头宋庄小区, 井头3132
锦秀江南, 南京西路
江山一品, 江山一品
金色港湾, 西关市场对面
京淮服装城, 车站东侧
金箔年大厦, 幸福路
金色氺岸, 暂无信息
京西小区, 西康家园附近
金地商都, 人民路
金伯年, 幸福路
金地鑫城, 国际学校边上
九龙华园, 五号桥东首锦绣江南对面
江山四期, 江山国际花园
金城花园, 大润发红灯西  金城花园
君临国际大酒店, 君临国际大酒店
聚龙花园两室阁楼全配, 聚龙花园
金柏年财富公寓, 幸福中路
金伯年城市公寓, 金伯年城市公寓
聚龙花园单身公寓, 宿城区
教育小区, 城中心
金桂花园, 通达大道
金玉花园, 金玉花园
锦绣江南五号桥东首, 锦绣江南五号桥东首
嘉汇枫景苑, 嘉汇枫景苑
金缘小区, 三匹马附近
锦辉家园, 沭阳大润发西侧
京宁名居, 北京路
金港花苑, 金港花苑
金陵名府发展大道, 发展大道
精品街, 义乌商贸城边上
锦华御园, 锦绣江南
金铂年, 幸福中路
金谷花园, 黄河风光带
君御名城, 树人学校对面
嘉汇枫景, 四季青南
建陵商都, 交通医院后面
京杭花园, 幸福南路98
金柏年A栋, 幸福路
嘉汇御景园, 嘉汇御景园
金地华园, 青少年广场附近
金港花园二期, 暂无信息
金三角小区, 市中心
江山城市广场, 乾隆菜场附近
锦泰花园, 宿豫区苏果平价店对面
佳源公园一号一手房, 恒佳花园
锦绣怡园, 幸福路228-10号 即如家宾馆旁边
佳源名人国际花园, 西湖路
金外滩, 一号桥和五号桥之间，一号桥东首向南100米
聚福园, 宿迁宿城区幸福小区北侧黄河北路139号
金禾理想城, 金禾理想城127平方+11平方车库满5年 58万
靳唐小区, 靳唐小区
嘉联紫金城, 淮海路
金玉花苑, 西湖路、发展大道、洪泽湖路三条宿迁故黄河西主干道围成的黄金区域
江岸名城, 城西 南京路西
君临国际, 霸王举鼎旁
九龙花园, 九龙花园
聚龙花园, 长途汽车站
金康华府二期, 桃源北路
丽景贵都, 宿迁市沭阳县
老干部干休所, 大润发北边
理想之家, 华希南岸丽景
老宿迁中学院内, 宿迁中学旁边
绿城田园, 暂无信息
郦景豪庭, 义乌商贸城旁
陆桥小区两室, 陆桥小区
粮校宿舍, 乡里景区对面，人民医院南300米
骆马湖沂沭泗管理, 楚街南门
丽景毫庭青华中学, 丽景毫庭，青华中学，
兰庭御城, 富康路义务商贸城
陆庄小区, 陆庄小区
供电局家属区, 供电局家属区
工商银行生活区, 桃园路
国大家园, 宿城区
姑苏别墅, 姑苏别墅
广州路安置楼, 广州路
广茂大厦, 广州路
广茂大厦, 步行街
国贸花园, 泰州路
金地如意里, 人民路
嘉汇枫景园, 四季青对面
锦绣江南, 暂无信息
华泰御花园, 楚街北
锦华名座, 张家港小学
丽景河畔, 丽景河畔
陆桥小区, 三号桥往南
乐府兰亭, 乐府兰亭
邻里中心宿城区, 暂无信息
蓝天公寓, 蓝天商贸城西门对面
隆园别墅, 九鼎公园
莱茵河畔, 众兴东路
陆河小区, 陆河小区
俪景豪庭, 发展大道401
绿洲豪庭, 幸福南路82号
临安小区, 临安小区
梅园别墅, 梅园别墅
民房(四季华庭西), 果园街南
名流小区, 名流小区
名豪半岛翡翠皇宫商铺, 名豪半岛翡翠皇宫商铺
名人国际复式楼, 名人国际
美好家园三期, 上海南路
明日建屋星城, 法院旁边
民政局家属区, 民政局家属区
名豪国际, 淮海路
梦溪小区四期, 梦溪小区
梦溪小区, 梦溪小区
马陵小区, 暂无信息
梦都花园, 梦都花园
名流雅居, 众兴西路
名人国际二期, 楚街西侧
恒翔银座, 恒翔银座
河畔花城, 暂无信息
建陵家园, 沭河中学西侧
健康家园, 大润发南
丰润名苑, 丰润名苑
黄金海岸, 黄金海岸
泗洪地税局宿舍, 工业路
泗阳凡事达小区, 凡事达小区
水仙楼菜场, 水仙楼菜场
泗阳老泗中中学院内, 泗阳中学
泗阳红光招商城, 人民路
泗阳骡马商业街, 双学区
泗阳洋河北路, 洋河北路
泗阳巨源商城, 淮海东路
苏通花苑, 沭阳大润发超市隔壁
苏北车市单身公寓, 常州路
苏北车市, 苏北车市
三匹马商业广场, 三匹马
圣廷苑, 台州南路
四季晶华, 市中心
上海南路, 上海南路
盛园华庭, 浙江商城东侧
山东商城公寓, 人民医院西
苏北车市商业广场四套, 苏北车市
沭阳城南大润发颖都家, 威武是
宿豫区小香港, 项王东路
纱厂小区, 软件园周边
四通综合市场, 城北 菜场楼上
宿豫区第一街, 宿豫区第一街
宿豫区千鸟园步行街, 宿豫区湘江路
宿豫区江山东省国际园, 江山大道貌岸然东侧
宿迁学院南傅庄, 宿迁学院南500米
宿迁中学公寓, 宿迁高中
宿师附小宿舍楼, 宿师附小宿舍楼
宿豫区最核心公寓房, 财政局对面
水城香水湾, 湖滨新城水城香水湾
市府东路马陵河路, 市府东路 马陵河路
宿城区香格里拉, 义乌商贸城对面
市府东路福寿堂, 市府东路二院附近
圣源华庭, 浙江商城隔壁
宿迁国际购物公园, 一号桥北侧
商贸城, 商贸城
沭河市场, 东关批发市场对面
双庄汽车城, 华夏大厦对面
泗阳老泗中, 老泗中院内
上江南, 上江南
树人学校山水云房抵工, 宿城区
上海城宿城, 金港花园旁 中山路南
实小学区房黄金位置, 实小学区房
圣庭苑, 虞姬生态园附近
宿城区, 宿城区
时代广场, 金柏年对面
双庄街, 徐淮路
泗阳汽配城商铺, 汽配城
世纪广场, 淮海路和水电路口
四季青, 为民路
世外桃源, 井头街
水木清华别墅, 海曲西路竹洞天附近
宿豫区中通名仕, 江山国际花园
水润天城, 水润天成
沭河家园, 城北附近那边
顺和人家, 顺和人家
尚阳城, 尚阳城
四季花苑, 城东片
沭阳花苑, 沭阳大酒店后面
三匹马单身公寓, 人民路左侧乐天玛特平行
盛唐世家, 城南毛坯房
泗水人家, 洋河路
泗水古城, 淮海路
沭阳大润发颖都家园, 大润发对面
苏通花园, 大润发背上
四季花园, 台州路
孙巷小区, 孙巷小区
宿豫区浦东际花园, 众大上海城北侧
沭阳清华园, 沭中西侧
宿迁一百, 宿迁一百
水晶国际小区, 相文路东路，生态公园对面
上海花园, 迎宾大道
尚东一号, 一号桥东首
水木青华, 区政府附近
市府东路, 市府东路旁
泗阳丰泰家园, 丰泰嘉园
宿城区颐景华庭, 幸福南路
宿豫区东方花园, 宿豫区
盛源金城, 实验小学对面
泗阳广源菜场, 水电路
苏州花园, 青少年广场北侧
上城丽景, 巴中市平昌县
山水云房, 东至黑海路，南至洪泽湖路，西至通湖大道绿化带，北至成子湖路
泗阳朗润国际, 朗润国际
苏苑花园, 洪泽湖路
尚城新世纪, 尚城新世纪
苏源阳光, 大润发对面
泗阳桂庄小区, 桂庄小区
顺河人家, 宿迁宿豫区泰山东路
苏兴大厦, 苏兴大厦
市府东路商品房, 市府东路
盛世家园, 中医院北侧
水木清华, 上海南路
学府花苑, 学府花苑
新田广场, 县政府
杏林小区, 城东中医院边上
新康家园, 新康家园
新世界商铺, 新世界
新I江南, 第二实小北边
新世界小复式房, 海宁皮革城对面路南侧
新世界商业广场, 新世界
新达公寓, 新达公寓
香溢满城, 实验中学南边
新世界广场, 新世界广场附近
新宿迁中学教师公寓, 新宿迁中学教师公寓
香榭里, 实小东
西湖商城, 宿城区
向里西区, 亚方花园后面
幸福新城, 幸福新城
鑫水名都, 幸福北路
新世界, 皮革城边上
香堤河畔人家, 金沙江路
新新家园, 新新家园
西楚农贸市场, 楚街
西城馥邦, 交通大楼西侧
县医院家属区, 县医院家属区
新和园, 名人国际东侧
幸福世纪苑, 八一西路17号附近
西苑世家, 西苑世家
幸福家园的小区, 乐之地
夏阳银湖花园, 夏阳银狐别墅
项里小区, 项里小区
新苑小区, 妇产医院
香缇河畔人家, 金外滩南50米
项王三期单身公寓, 文体馆
星月城, 经济开发区威海路328号
希望城一手房, 希望城
新园一期, 新园一期
学府花园, 学府花园
新园二期, 文体馆附近
新世纪家园, 协和医院隔壁
新园小区, 世纪大道17号
兴鸿名城, 黄河路206号附近
新康嘉园单身公寓, 新康嘉园单身公寓
学府文苑, 泗洪学府文苑
祥和名邸, 祥和名邸
星海湾, 金沙江路与庐山路交汇处
夏阳银湖别墅, 夏阳银湖别墅
学府小区, 东关口
鑫地名都, 鑫地名都
学府人家, 骆马湖大学城附近
希望城单身公寓, 希望成
新城家园, 钟吾国际学校东面
新城名居, 汽配城北
小香港, 金沙江路
香格里拉, 义乌商贸城
项王小区, 暂无信息
祥和花园, 十一万
项里花园, 项里花园
幸福小区, 暂无信息
新园三期, 文体馆斜对面
西楚庄园, 双庄镇南海路
新康嘉园, 城中心
新康花园, 中山医院
新康景园, 上海南路与临安西路
项王二期, 暂无信息
信安花园, 信安花园
西湖公寓, 新车站附近
星河绿洲, 珠江路1045-5号
学府名苑, 北京路
香榭里明珠, 幸福路中段
新世纪花园, 京杭大酒店对面
项王一期, 汽车站附近
项里御景, 项王路运河桥西首
新园小区三期, 体育馆附近
惠隆花园, 宿豫地税对面
幸福家园, 幸福家园
建屋明日星城, 树人中学学区房
项王小区二期, 项王小区
嘉豪阳光, 宿城新区
恒大绿洲, 恒大绿洲
金柏年, 金柏年大厦
新世界花园, 桃源路
金水名都, 青年路西侧，大连路北侧
物价局家属区, 建陵中学边上
物价局公寓楼, 柴沂路
沃得嘉园, 暂无信息
万豪商务宾馆, 大润发对面
万豪新城送储藏室, 城东菜场
维多利亚, 幸福北路（军人疗养院对面）
万豪星城, 万豪星城
万源商城, 万源商城
武夷国际, 实验中学附近
沃德嘉园, 国际学校 正南
文成新都, 桃园北路
卧龙湾, 宿豫区金沙江路
文樞苑, 文樞苑
天盛小区, 昭德小区对面
万佳科技, 泗中南侧
天下景程, 国际学校南
天成家园, 大连路
通和花园, 通和花园
泰和祥府, 世纪大道与深圳路交叉口
通河桂圆, 通河桂圆
通和桂苑, 微山湖路
汤涧锦绣苑, 沭阳汤涧
天津花园, 人民路 乐天玛特
陶然雅居, 桃园中路
天星花园电梯房, 天星花园
颖都佳园, 大润发
通和桂园西区, 通和桂园西区
天宇天和, 泰州路
颍都家园, 大润发北侧
桃园小区双校区送, 淮海中路
沂水绿洲, 怀明中学附近
阳光绿洲, 城东  高架桥下面
頥景华庭, 人民医院南面
怡景家园, 城北四通市场西侧
御湖蓝桥别墅一手房, 湖滨新区
义务商贸城, 义乌商贸城
郁江大厦单身公寓, 郁江大厦
渝江大厦, 大洲广场附近
云中阁, 城中光荣路
豫景山庄, 市府东路桥东首
御湖澜桥, 御湖澜桥
沂沭泗水利部宿舍, 富康路
友谊大院, 步行街世纪乐购
云阳新村, 中华广场南侧
颖都金鼎国际, 城南大润发路对面
阳光天下, 临安路
豫苑小区送外阁楼, 交通方便
月亮城小俩室, 月亮城
阳光花城, 宿城区
用世水韵城, 出街南门对面
运河春天, 运河春天
御景天成, 市区...
运河雅居, 运河雅居
颐景名苑, 黄运路
阳光美地, 紧邻可成科技
亚芳花园, 亚芳花园
阳光华诚, 文体馆附近
颐景泽地, 繁荣北路
阳城花园, 大润发南
阳光华城四期, 阳光华城四期
怡景佳园, 城市中心
义乌商贸城, 发展大道
雅兰花园, 雅兰花园
豫苑别墅, 豫苑别墅
阳光花苑, 南京路
阳光花园, 阳光花园
忆嘉江南水岸, 忆嘉江南水岸
怡华苑, 黄河2渤海15
义乌商贸城精品街, 希望城对面
迎虞花苑, 虞姬生态园北侧
御景龙庭, 华东农贸市场
雅蓝国际花园, 发展大道与汕头路交汇处
阳光巴黎城单身公寓, 艾米电影院
豫江大厦新装朝南, 五岔路口
月亮城学区房, 月亮城学区房
阅湖花园, 黄河北路 雪枫公园西门对面
颐和家园, 城北教堂
雅典花园, 洋河路
雨润广场小区, 雨润广场小区
远景时代, 电视台北侧
豫苑小区, 宿豫实验幼儿园对面
运河人家, 运河人家
月亮城, 月亮城小区
逸景嘉园, 北京路
亚方花园, 项王故里
